emp_no,first_name,last_name,title
10001,Georgi,Facello,Senior Engineer
10005,Kyoichi,Maliniak,Senior Engineer
10006,Anneke,Preusig,Senior Staff
10009,Sumant,Peac,Senior Staff
10018,Kazuhide,Peha,Senior Engineer
10019,Lillian,Haddadi,Senior Staff
10020,Mayuko,Warwick,Engineer
10022,Shahaf,Famili,Staff
10023,Bojan,Montemayor,Senior Staff
10026,Yongqiao,Berztiss,Senior Engineer
10035,Alain,Chappelet,Senior Engineer
10051,Hidefumi,Caine,Senior Staff
10053,Sanjiv,Zschoche,Senior Engineer
10059,Alejandro,McAlpine,Senior Engineer
10066,Kwee,Schusler,Technique Leader
10067,Claudi,Stavenow,Engineer
10073,Shir,McClurg,Senior Staff
10088,Jungsoon,Syrzycki,Senior Engineer
10091,Amabile,Gomatam,Senior Staff
10096,Jayson,Mandell,Senior Engineer
10101,Perla,Heyers,Senior Engineer
10103,Akemi,Birch,Senior Engineer
10106,Eben,Aingworth,Technique Leader
10108,Lunjin,Giveon,Staff
10116,Dayanand,Czap,Engineer
10126,Kayoko,Valtorta,Senior Engineer
10127,Subir,Baja,Senior Engineer
10131,Magdalena,Eldridge,Senior Staff
10138,Perry,Shimshoni,Engineer
10150,Zhenbing,Perng,Senior Staff
10159,Serif,Buescher,Senior Engineer
10160,Debatosh,Khasidashvili,Senior Staff
10163,Karsten,Szmurlo,Senior Engineer
10177,Pragnesh,Iisaka,Engineer
10186,Shigehito,Kropatsch,Senior Staff
10189,Khalid,Erva,Senior Staff
10194,Josyula,Hofmeyr,Staff
10196,Marc,Hellwagner,Senior Engineer
10198,Pranav,Furedi,Senior Engineer
10203,Steen,Escriba,Senior Staff
10207,Girolamo,Anandan,Engineer
10217,Yongmin,Roison,Engineer
10219,Genta,Kolvik,Senior Staff
10224,Leon,Trogemann,Senior Engineer
10228,Karoline,Cesareni,Assistant Engineer
10229,Ulises,Takanami,Staff
10230,Clyde,Vernadat,Senior Staff
10233,Lein,Vendrig,Senior Engineer
10237,Yannis,Mandell,Senior Engineer
10248,Frederique,Tempesti,Senior Engineer
10249,Marie,Boreale,Senior Staff
10258,Basil,Ishibashi,Senior Engineer
10272,Yishai,Cannane,Senior Staff
10281,Moty,Kusakari,Senior Engineer
10283,Kauko,Birjandi,Senior Engineer
10284,Masali,Murrill,Engineer
10294,Rutger,Miara,Staff
10298,Dietrich,DuCasse,Senior Engineer
10305,Hirochika,Piancastelli,Technique Leader
10307,Nikolaos,Leaver,Senior Engineer
10325,Arunachalam,Badr,Staff
10333,Snehasis,Dymetman,Staff
10349,Oksana,Brodie,Staff
